PRODUCT_ID*31,MANUFACTURER,MAIN_CATEGORY
336570596,Canon,Kameras
348756882,Microsoft,Tablets
353811835,LGElectronics,Handy
327378693,Acer,Tablets
337147134,Apple,Laptop
323019411,Huawei,Wearables
346172009,Sony,Handy
319797488,Tamron,Kameras
354164119,Apple,Handy
349008044,Amazon,Audio & Hifi
318512073,Apple,Handy
350320584,Xiaomi,Handy
55044840,Apple,Apple
339789698,Huawei,Tablets
342273635,Sony,Handy
350320088,Lenovo,Handy
341424204,HouseofMarley,Audio & Hifi
291042198,Fujifilm,Kameras
291340263,Canon,Kameras
270169743,Sony,Handy
341257238,Apple,Handy
348948710,OnePlus,Handy
310343728,Olympus,Kameras
252592681,Apple,Tablets
338402386,Canon,Kameras
276056085,Huawei,Handy
347488207,Huawei,Tablets
352781891,Apple,Laptop
348045246,Samsung,Handy
107200542,Fujifilm,Kameras
81990040,Apple,Apple
348661278,Apple,Tablets
330385507,Apple,Laptop
334008663,Sennheiser,Audio & Hifi
98624795,Sony,Tablets
320591429,Apple,Laptop
342537848,Lenovo,Tablets
270184902,Huawei,Handy
309658442,Canon,Kameras
319953356,Polar,Wearables
330220184,HarmanKardon,Audio & Hifi
323342245,Canon,Kameras
409758,Nintendo,Konsolen
354161608,Sony,Handy
323343113,Apple,Wearables
300285344,Canon,Kameras
318187007,Apple,Apple
333551165,GoPro,Kameras
319993966,Apple,Wearables
289577975,Sony,Kameras
323357466,Nikon,Kameras
380435410,Apple,Laptop
341649016,Apple,Laptop
319064152,Nikon,Kameras
380431287,Apple,Laptop
354174163,Microsoft,Konsolen
340083454,Apple,Laptop
354230676,Apple,Laptop
332840862,harmankardon,Audio & Hifi
339790411,Sony,Handy
354158539,Samsung,Handy
343939978,Sony,Handy
380438727,Apple,Laptop
313143152,Nikon,Kameras
352765709,Microsoft,Tablets
380228485,Apple,Wearables
338433386,Magnat,Audio & Hifi
354184269,Apple,Laptop
348849851,Apple,Laptop
353814129,Microsoft,Tablets
380227090,Apple,Wearables
335720793,Apple,Laptop
332841358,harmankardon,Audio & Hifi
380435162,Apple,Laptop
354230924,Apple,Laptop
380436836,Apple,Laptop
353099486,Apple,Laptop
378703936,Apple,Handy
380429551,Apple,Laptop
340411403,Apple,Audio & Hifi
110564724,Panasonic,Kameras
309007752,Sony,Kameras
354236938,Apple,Laptop
353462682,Microsoft,Tablets
353896775,Apple,Laptop
380427102,Apple,Laptop
340475666,Apple,Laptop
347743864,Apple,Apple
378703781,Apple,Handy
354179991,Apple,Laptop
346966756,Motorola,Handy
332015611,Nintendo,Konsolen
275371388,Lenovo,Handy
346223903,Canon,Kameras
338199677,Huawei,Handy
344892081,Nokia,Handy
313078672,Sony,Kameras
380775883,Microsoft,Tablets
346455628,Microsoft,Tablets
159600524,Canon,Kameras
354170381,Apple,Tablets
332225109,LGElectronics,Handy
339882574,Wiko,Handy
284336557,Microsoft,Konsolen
2535087,Apple,Apple
332444775,Canon,Kameras
332894244,BeatsbyDrDre,Audio & Hifi
348757285,Samsung,Wearables
344451137,Lenovo,Handy
248876060,Samsung,Tablets
353953040,Samsung,Handy
350085170,Apple,Apple
109347354,Apple,Apple
319797674,Nikon,Kameras
319995764,Apple,Tablets
347345607,Amazon,Tablets
342151836,Garmin,Wearables
270239865,Samsung,Handy
345450298,Samsung,Wearables
78824258,Nokia,Handy
341257362,Apple,Handy
347850907,Lenovo,Handy
349276969,Samsung,Handy
319885962,Sigma,Kameras
346226538,Apple,Handy
346063292,Samsung,Handy
352777458,Sony,Konsolen
348949175,Apple,Handy
305480169,Samsung,Handy
353459830,Garmin,Wearables
107180268,Canon,Kameras
326839541,JBL,Audio & Hifi
308095918,Sony,Konsolen
327615316,Huawei,Handy
2825309,Sony,Konsolen
341806310,Riva,Audio & Hifi
232288053,Samsung,Tablets
346228243,Apple,Wearables
349656781,Oppo,Handy
334363396,Google,Handy
343543054,Huawei,Handy
332508015,Apple,Wearables
332506527,Apple,Wearables
350776966,Xiaomi,Handy
334677085,Microsoft,Konsolen
319953573,Polar,Wearables
283422243,Sony,Handy
323426627,OnePlus,Handy
354153951,Oppo,Handy
350020194,Nokia,Handy
319888783,Sigma,Kameras
315676968,LG,Handy
338608567,Canton,Audio & Hifi
343748243,Sony,Handy
291342836,Pentax,Kameras
290680800,HTC,Handy
77159775,Microsoft,Konsolen
322260562,Bose,Audio & Hifi
310804481,Microsoft,Tablets
323343764,Apple,Handy
332225078,LGElectronics,Handy
317286767,HTC,Handy
354169792,Apple,Tablets
330385104,Apple,Laptop
306934317,Canon,Kameras
378185740,Samsung,Handy
350018582,Xiaomi,Handy
336052679,BeatsElectronics,Audio & Hifi
319777586,Apple,Wearables
2785071,Apple,Apple
320587802,Amazon,Tablets
341017019,Xiaomi,Handy
332842505,harmankardon,Audio & Hifi
350320429,Xiaomi,Handy
348086197,Huawei,Handy
352334623,Apple,Wearables
354169885,Apple,Tablets
88041829,Nokia,Handy
322156123,Sony,Kameras
239455439,Nikon,Kameras
139416455,Nikon,Kameras
323019566,Huawei,Wearables
345038525,Apple,Laptop
2001422,Sony,Konsolen
354199769,Samsung,Tablets
332445023,Sony,Audio & Hifi
332537868,Apple,Handy
353117683,Lenovo,Tablets
340378667,Philips,Audio & Hifi
291702839,Samsung,Tablets
319397061,Apple,Wearables
345454731,Xiaomi,Handy
